OID_,TAZID,CO_TAZID,DEVACRES,HH,JOB,AUTO_JB,AUTO_HH,TRAN_JB,TRAN_HH,COMP_AUTO,COMP_TRAN,AUTO_JB_WT,AUTO_HH_WT,TRAN_JB_WT,TRAN_HH_WT
,1,30001,374.610000000000014,1.100000000000000,0.000000000000000,30088,20321,0,0,30088,0,33096,0,0,0
,2,30002,638.019999999999982,15.199999999999999,3.600000000000000,32971,22315,0,0,31737,0,501162,80335,0,0
,3,30003,470.790000000000020,5.100000000000000,2.600000000000000,33942,22986,0,0,31533,0,173104,59765,0,0
,4,30004,779.840000000000032,21.000000000000000,24.100000000000001,33242,22501,0,0,29072,0,698077,542272,0,0
,5,30005,395.379999999999995,30.500000000000000,69.500000000000000,41857,28503,0,0,34413,0,1276652,1980979,0,0
,6,30006,900.970000000000027,15.100000000000000,43.899999999999999,42859,29182,0,0,34428,0,647177,1281094,0,0
,7,30007,1615.309999999999945,0.000000000000000,171.900000000000006,35806,24255,0,0,24255,0,0,4169446,0,0
,8,30008,501.949999999999989,0.000000000000000,0.000000000000000,22106,15320,0,0,0,0,0,0,0,0
,9,30009,135.460000000000008,12.100000000000000,0.000000000000000,23206,16077,0,0,23206,0,280793,0,0,0
,10,30010,1026.170000000000073,55.799999999999997,11.000000000000000,25540,17687,0,0,24768,0,1425123,194555,0,0
,11,30011,978.570000000000050,37.600000000000001,7.100000000000000,33108,22789,0,0,32133,0,1244861,161800,0,0
,12,30012,743.399999999999977,9.600000000000000,42.600000000000001,42798,29287,0,0,33200,0,410858,1247639,0,0
,13,30013,203.500000000000000,164.699999999999989,50.700000000000003,40289,27745,1829,1305,38464,1753,6635519,1406696,301284,66164
,14,30014,1254.019999999999982,6.100000000000000,0.000000000000000,39086,26559,0,0,39086,0,238427,0,0,0
,15,30015,410.189999999999998,7.300000000000000,0.000000000000000,45366,30896,0,0,45366,0,331172,0,0,0
,16,30016,597.250000000000000,17.600000000000001,1.300000000000000,45562,30891,0,0,44986,0,801885,40159,0,0
,17,30017,274.889999999999986,0.000000000000000,0.000000000000000,51759,35215,0,0,0,0,0,0,0,0
,18,30018,453.970000000000027,8.199999999999999,0.000000000000000,44501,30159,0,0,44501,0,364910,0,0,0
,19,30019,3139.590000000000146,0.000000000000000,8.199999999999999,37938,25621,0,0,25621,0,0,210088,0,0
,20,30020,510.910000000000025,0.000000000000000,96.900000000000006,53878,36930,0,0,36930,0,0,3578486,0,0
,21,30021,954.919999999999959,0.000000000000000,0.000000000000000,46323,31845,0,0,0,0,0,0,0,0
,22,30022,1402.990000000000009,0.000000000000000,0.000000000000000,61221,41948,0,0,0,0,0,0,0,0
,23,30023,79.090000000000003,0.000000000000000,9.199999999999999,74054,50696,0,0,50696,0,0,466405,0,0
,24,30024,118.430000000000007,0.000000000000000,0.000000000000000,64353,44130,0,0,0,0,0,0,0,0
,25,30025,309.310000000000002,0.000000000000000,694.700000000000045,47480,32311,0,0,32311,0,0,22446114,0,0
,26,30026,226.710000000000008,0.000000000000000,0.000000000000000,49699,33761,0,0,0,0,0,0,0,0
,27,30027,152.620000000000005,0.000000000000000,0.000000000000000,44138,29988,0,0,0,0,0,0,0,0
